,Pos,Player,Tm,Age,Yrs,G,GS,Cmp,PsAtt,PsYds,PsTD,PsInt,Att,RshYds,RshTD,Rec,RecYds,RecTD,Solo,Sk,Int,All-pro teams,Year
426,TE,Tony Gonzalez,KAN,30,9.0,15,15,0,0,0,0,0,0,0,0,73,900,5,0.0,0.0,0,AP: 2nd Tm,2006
427,T,Walter Jones,SEA,32,9.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm",2006
428,T,Jammal Brown,NOR,25,1.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2006
429,T,Jonathan Ogden,BAL,32,10.0,14,14,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2006
430,T,Willie Anderson,CIN,31,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm",2006
431,G,Steve Hutchinson,MIN,29,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm",2006
432,G,Shawn Andrews,PHI,24,2.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, SN: 1st Tm",2006
433,G,Alan Faneca,PIT,30,8.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2006
434,G,Will Shields,KAN,35,13.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2006
435,C,Olin Kreutz,CHI,29,8.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
436,C,Jeff Saturday,IND,31,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2006
437,EDGE,Jason Taylor,MIA,32,9.0,16,16,0,0,0,0,0,0,0,0,0,0,0,42.0,13.5,2,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
438,EDGE,Julius Peppers,CAR,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,49.0,13.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
439,EDGE,Aaron Kampman,GNB,27,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,59.0,15.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2006
440,EDGE,Aaron Schobel,BUF,29,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,35.0,14.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2006
441,DT,Kevin Williams,MIN,26,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,28.0,5.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
442,DT,Jamal Williams,SDG,30,8.0,16,16,0,0,0,0,0,0,0,0,0,0,0,49.0,2.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
443,DT,Richard Seymour,NWE,27,5.0,16,15,0,0,0,0,0,0,0,0,0,0,0,23.0,4.0,1,"FW: 1st Tm All-Conf., AP: 2nd Tm",2006
444,DT,Tommie Harris,CHI,23,2.0,12,11,0,0,0,0,0,0,0,0,0,0,0,22.0,5.0,0,FW: 1st Tm All-Conf.,2006
445,DT,John Henderson,JAX,27,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,38.0,3.5,0,AP: 2nd Tm,2006
446,EDGE,Shawne Merriman,SDG,22,1.0,12,12,0,0,0,0,0,0,0,0,0,0,0,49.0,17.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
447,EDGE,Adalius Thomas,BAL,29,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,64.0,11.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2006
448,EDGE,Lance Briggs,CHI,26,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,113.0,1.0,2,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2006
449,EDGE,DeMarcus Ware,DAL,24,1.0,16,16,0,0,0,0,0,0,0,0,0,0,0,59.0,11.5,1,"FW: 1st Tm All-Conf., AP: 2nd Tm",2006
450,LB,Al Wilson,DEN,29,7.0,15,15,0,0,0,0,0,0,0,0,0,0,0,79.0,1.0,0,AP: 2nd Tm,2006
451,LB,Bart Scott,BAL,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,78.0,9.5,2,AP: 2nd Tm,2006
452,LB,Brian Urlacher,CHI,28,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,93.0,0.0,3,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
453,LB,Zach Thomas,MIA,33,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,103.0,3.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm",2006
454,CB,Champ Bailey,DEN,28,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,74.0,0.0,10,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
455,CB,Rashean Mathis,JAX,26,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,56.0,0.0,8,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
456,CB,Lito Sheppard,PHI,25,4.0,13,13,0,0,0,0,0,0,0,0,0,0,0,25.0,0.0,6,FW: 1st Tm All-Conf.,2006
457,CB,Al Harris,GNB,32,8.0,16,16,0,0,0,0,0,0,0,0,0,0,0,35.0,0.0,3,FW: 1st Tm All-Conf.,2006
458,CB,Ronde Barber,TAM,31,9.0,16,16,0,0,0,0,0,0,0,0,0,0,0,85.0,0.0,3,AP: 2nd Tm,2006
459,CB,Nnamdi Asomugha,OAK,25,3.0,15,15,0,0,0,0,0,0,0,0,0,0,0,48.0,1.0,8,AP: 2nd Tm,2006
460,S,Ed Reed,BAL,28,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,52.0,0.0,5,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
461,S,Adrian Wilson,ARI,27,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,76.0,5.0,4,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm",2006
462,S,Brian Dawkins,PHI,33,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,76.0,1.0,4,"FW: 1st Tm All-Conf., AP: 1st Tm",2006
463,S,Kerry Rhodes,NYJ,24,1.0,16,16,0,0,0,0,0,0,0,0,0,0,0,75.0,5.0,4,"FW: 1st Tm All-Conf., AP: 2nd Tm",2006
464,K,Matt Stover,BAL,38,15.0,16,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,AP: 2nd Tm,2006
465,P,Brian Moorman,BUF,30,5.0,16,0,0,1,0,0,0,2,2,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
466,P,Mat McBriar,DAL,27,2.0,16,0,0,0,0,0,0,1,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2006
467,RET,Adam Jones,TEN,23,1.0,15,15,0,0,0,0,0,2,8,0,2,31,0,51.0,1.0,4,FW: 1st Tm All-Conf.,2006
468,RET,Devin Hester,CHI,24,,16,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0.0,0,"FW: 1st Tm All-Conf., FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
469,RET,Justin Miller,NYJ,22,1.0,16,4,0,0,0,0,0,0,0,0,0,0,0,46.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm",2006
470,ST,Brendon Ayanbadejo,CHI,30,3.0,16,1,0,0,0,0,0,0,0,0,0,0,0,23.0,0.0,0,"FW: 1st Tm All-Conf., FW: 1st Tm",2006
471,ST,Kassim Osgood,SDG,26,3.0,16,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.0,0,FW: 1st Tm All-Conf.,2006
472,K,Robbie Gould,CHI,24,1.0,16,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2006
473,K,Nate Kaeding,SDG,24,2.0,16,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2006
474,QB,Tom Brady,NWE,30,7.0,16,16,398,578,4806,50,8,37,98,2,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
475,QB,Brett Favre,GNB,38,16.0,16,16,356,535,4155,28,15,29,12,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2007
476,RB,LaDainian Tomlinson,SDG,28,6.0,16,16,1,1,17,1,0,315,1474,15,60,475,3,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
477,RB,Brian Westbrook,PHI,28,5.0,15,15,0,0,0,0,0,278,1333,7,90,771,5,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2007
478,RB,Adrian Peterson,MIN,22,,14,9,0,0,0,0,0,238,1341,12,19,268,1,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2007
479,RB,Willie Parker,PIT,27,3.0,15,15,0,1,0,0,0,321,1316,2,23,164,0,0.0,0.0,0,FW: 1st Tm All-Conf.,2007
480,RB,Fred Taylor,JAX,31,9.0,15,15,0,0,0,0,0,223,1202,5,9,58,0,,0.0,0,AP: 2nd Tm,2007
481,FB,Lorenzo Neal,SDG,37,14.0,13,8,0,0,0,0,0,13,32,0,8,23,1,,0.0,0,AP: 1st Tm,2007
482,FB,Tony Richardson,MIN,36,12.0,14,3,0,0,0,0,0,7,13,0,11,89,0,0.0,0.0,0,AP: 2nd Tm,2007
483,WR,Randy Moss,NWE,30,9.0,16,16,0,0,0,0,0,0,0,0,98,1493,23,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
484,WR,Terrell Owens,DAL,34,11.0,15,15,0,0,0,0,0,1,5,0,81,1355,15,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2007
485,WR,Braylon Edwards,CLE,24,2.0,16,16,0,0,0,0,0,0,0,0,80,1289,16,0.0,0.0,0,"SN: 1st Tm, AP: 2nd Tm",2007
486,WR,Reggie Wayne,IND,29,6.0,16,16,0,0,0,0,0,1,4,0,104,1510,10,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2007
487,WR,Larry Fitzgerald,ARI,24,3.0,15,15,0,0,0,0,0,0,0,0,100,1409,10,0.0,0.0,0,FW: 1st Tm All-Conf.,2007
488,WR,Wes Welker,NWE,26,3.0,16,13,0,0,0,0,0,4,34,0,112,1175,8,0.0,0.0,0,AP: 2nd Tm,2007
489,TE,Jason Witten,DAL,25,4.0,16,16,0,0,0,0,0,0,0,0,96,1145,7,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
490,TE,Antonio Gates,SDG,27,4.0,16,16,0,0,0,0,0,0,0,0,75,984,9,0.0,0.0,0,FW: 1st Tm All-Conf.,2007
491,TE,Tony Gonzalez,KAN,31,10.0,16,16,0,0,0,0,0,0,0,0,99,1172,5,0.0,0.0,0,AP: 2nd Tm,2007
492,T,Walter Jones,SEA,33,10.0,15,15,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
493,T,Matt Light,NWE,29,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2007
494,T,Jason Peters,BUF,25,3.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2007
495,T,Flozell Adams,DAL,32,9.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2007
496,G,Steve Hutchinson,MIN,30,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
497,G,Logan Mankins,NWE,25,2.0,16,16,0,0,0,0,0,0,0,0,1,-9,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm",2007
498,G,Alan Faneca,PIT,31,9.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm",2007
499,G,Shawn Andrews,PHI,25,3.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf.,2007
500,G,Leonard Davis,DAL,29,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm,2007
501,C,Jeff Saturday,IND,32,8.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2007
502,C,Matt Birk,MIN,31,9.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf.,2007
503,C,Dan Koppen,NWE,28,4.0,15,15,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm,2007
504,EDGE,Jared Allen,KAN,25,3.0,14,14,0,0,0,0,0,0,0,0,2,3,2,56.0,15.5,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
505,EDGE,Patrick Kerney,SEA,31,8.0,16,16,0,0,0,0,0,0,0,0,0,0,0,51.0,14.5,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2007
506,EDGE,Mario Williams,HOU,22,1.0,16,16,0,0,0,0,0,0,0,0,0,0,0,43.0,14.0,0,"AP: 2nd Tm, SN: 1st Tm",2007
507,EDGE,Aaron Kampman,GNB,28,5.0,15,15,0,0,0,0,0,0,0,0,0,0,0,48.0,12.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2007
508,EDGE,Kyle Vanden Bosch,TEN,29,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,48.0,12.0,0,FW: 1st Tm All-Conf.,2007
509,DT,Kevin Williams,MIN,27,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,30.0,3.0,2,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
510,DT,Albert Haynesworth,TEN,26,5.0,13,12,0,0,0,0,0,0,0,0,0,0,0,32.0,6.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
511,DT,Vince Wilfork,NWE,26,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,36.0,2.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2007
512,DT,Pat Williams,MIN,35,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,44.0,2.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2007
513,EDGE,DeMarcus Ware,DAL,25,2.0,16,16,0,0,0,0,0,0,0,0,0,0,0,60.0,14.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
514,EDGE,Mike Vrabel,NWE,32,10.0,16,15,0,0,0,0,0,0,0,0,2,3,2,56.0,12.5,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2007
515,EDGE,James Harrison,PIT,29,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,76.0,8.5,1,"FW: 1st Tm All-Conf., AP: 2nd Tm",2007
516,EDGE,Julian Peterson,SEA,29,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,63.0,9.5,2,FW: 1st Tm All-Conf.,2007
517,EDGE,Shawne Merriman,SDG,23,2.0,15,15,0,0,0,0,0,0,0,0,0,0,0,54.0,12.5,0,AP: 2nd Tm,2007
518,LB,Lofa Tatupu,SEA,25,2.0,16,16,0,0,0,0,0,0,0,0,0,0,0,83.0,1.0,4,AP: 1st Tm,2007
519,LB,Nick Barnett,GNB,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,102.0,3.5,2,AP: 2nd Tm,2007
520,LB,Patrick Willis,SFO,22,,16,16,0,0,0,0,0,0,0,0,0,0,0,136.0,4.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
521,LB,DeMeco Ryans,HOU,23,1.0,16,16,0,0,0,0,0,0,0,0,0,0,0,98.0,2.0,1,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2007
522,CB,Asante Samuel,NWE,26,4.0,16,14,0,0,0,0,0,0,0,0,0,0,0,43.0,0.0,6,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
523,CB,Antonio Cromartie,SDG,23,1.0,16,8,0,0,0,0,0,0,0,0,0,0,0,39.0,0.0,10,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2007
524,CB,Marcus Trufant,SEA,27,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,78.0,0.0,7,"FW: 1st Tm All-Conf., SN: 1st Tm",2007
525,CB,Al Harris,GNB,33,9.0,16,16,0,0,0,0,0,0,0,0,0,0,0,33.0,0.0,2,"FW: 1st Tm All-Conf., AP: 2nd Tm",2007
526,CB,Champ Bailey,DEN,29,8.0,15,15,0,0,0,0,0,0,0,0,0,0,0,71.0,0.0,3,AP: 2nd Tm,2007
527,S,Bob Sanders,IND,26,3.0,15,15,0,0,0,0,0,0,0,0,0,0,0,72.0,3.5,2,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
528,S,Ed Reed,BAL,29,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,29.0,0.0,7,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
529,S,Darren Sharper,MIN,32,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,49.0,0.0,4,"FW: 1st Tm All-Conf., AP: 2nd Tm",2007
530,S,Jermaine Phillips,TAM,28,5.0,15,15,0,0,0,0,0,0,0,0,0,0,0,70.0,1.0,4,FW: 1st Tm All-Conf.,2007
531,S,Troy Polamalu,PIT,26,4.0,11,11,0,0,0,0,0,0,0,0,0,0,0,45.0,0.0,0,AP: 2nd Tm,2007
532,S,Sean Taylor,WAS,24,3.0,9,9,0,0,0,0,0,0,0,0,0,0,0,31.0,0.0,5,AP: 2nd Tm,2007
533,K,Phil Dawson,CLE,32,8.0,16,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm,2007
534,P,Andy Lee,SFO,25,3.0,16,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2007
535,P,Shane Lechler,OAK,31,7.0,16,0,0,0,0,0,0,1,-4,0,0,0,0,1.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2007
536,RET,Roscoe Parrish,BUF,25,2.0,16,3,0,0,0,0,0,3,19,1,35,352,1,0.0,0.0,0,FW: 1st Tm All-Conf.,2007
537,RET,Devin Hester,CHI,25,1.0,16,0,0,0,0,0,0,7,-10,0,20,299,2,0.0,0.0,0,"FW: 1st Tm All-Conf., FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
538,RET,Josh Cribbs,CLE,24,2.0,16,2,0,0,0,0,0,9,61,0,3,37,0,17.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm",2007
539,ST,Kassim Osgood,SDG,27,4.0,16,0,0,0,0,0,0,0,0,0,2,23,0,12.0,0.0,0,"FW: 1st Tm All-Conf., FW: 1st Tm",2007
540,ST,Brendon Ayanbadejo,CHI,31,4.0,16,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0.0,0,FW: 1st Tm All-Conf.,2007
541,K,Rob Bironas,TEN,29,2.0,16,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2007
542,K,Kris Brown,HOU,31,8.0,16,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,FW: 1st Tm,2007
543,LB,Keith Bulluck,TEN,30,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,68.0,0.0,5,FW: 1st Tm,2007
544,C,Kevin Mawae,TEN,36,13.0,14,14,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm,2007
545,EDGE,Ty Warren,NWE,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,34.0,4.0,0,FW: 1st Tm,2007
546,RB,Leon Washington,NYJ,25,1.0,16,4,1,1,36,0,0,71,353,3,36,213,0,0.0,0.0,0,FW: 1st Tm,2007
547,C,Andre Gurode,DAL,29,5.0,14,14,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,SN: 1st Tm,2007
548,K,Nick Folk,DAL,23,,16,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,FW: 1st Tm All-Conf.,2007
549,QB,Peyton Manning,IND,32,10.0,16,16,371,555,4002,27,12,20,21,1,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2008
550,QB,Drew Brees,NOR,29,7.0,16,16,413,635,5069,34,17,22,-1,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2008
551,RB,Michael Turner,ATL,26,4.0,16,16,0,0,0,0,0,376,1699,17,6,41,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2008
552,RB,Adrian Peterson,MIN,23,1.0,16,15,0,0,0,0,0,363,1760,10,21,125,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2008
553,RB,Chris Johnson,TEN,23,,15,14,0,0,0,0,0,251,1228,9,43,260,1,0.0,0.0,0,FW: 1st Tm All-Conf.,2008
554,RB,Thomas Jones,NYJ,30,8.0,16,14,0,0,0,0,0,290,1312,13,36,207,2,0.0,0.0,0,FW: 1st Tm All-Conf.,2008
555,RB,DeAngelo Williams,CAR,25,2.0,16,16,0,0,0,0,0,273,1515,18,22,121,2,0.0,0.0,0,AP: 2nd Tm,2008
556,RB,Clinton Portis,WAS,27,6.0,16,16,0,0,0,0,0,342,1487,9,28,218,0,0.0,0.0,0,AP: 2nd Tm,2008
557,FB,Le'Ron McClain,BAL,24,1.0,16,16,0,0,0,0,0,232,902,10,19,123,1,0.0,0.0,0,AP: 1st Tm,2008
558,FB,Madison Hedgecock,NYG,27,3.0,16,10,0,0,0,0,0,1,0,0,8,52,1,0.0,0.0,0,AP: 2nd Tm,2008
559,WR,Andre Johnson,HOU,27,5.0,16,16,0,0,0,0,0,0,0,0,115,1575,8,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2008
560,WR,Larry Fitzgerald,ARI,25,4.0,16,16,0,0,0,0,0,0,0,0,96,1431,12,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2008
561,WR,Wes Welker,NWE,27,4.0,16,14,0,0,0,0,0,3,26,0,111,1165,3,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2008
562,WR,Roddy White,ATL,27,3.0,16,15,0,0,0,0,0,2,4,0,88,1382,7,0.0,0.0,0,FW: 1st Tm All-Conf.,2008
563,WR,Steve Smith Sr.,CAR,29,7.0,14,14,0,0,0,0,0,5,40,0,78,1421,6,0.0,0.0,0,AP: 2nd Tm,2008
564,TE,Tony Gonzalez,KAN,32,11.0,16,16,0,0,0,0,0,0,0,0,96,1058,10,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2008
565,TE,Jason Witten,DAL,26,5.0,16,16,1,1,42,0,0,0,0,0,81,952,4,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2008
566,T,Jordan Gross,CAR,28,5.0,15,15,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2008
567,T,Michael Roos,TEN,26,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2008
568,T,David Diehl,NYG,28,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2008
569,T,Ryan Clady,DEN,22,,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2008
570,T,David Stewart,TEN,26,2.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm,2008
571,T,Jason Peters,BUF,26,4.0,13,13,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm,2008
572,T,Joe Thomas,CLE,24,1.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm,2008
573,T,Walter Jones,SEA,34,11.0,12,12,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm,2008
574,G,Steve Hutchinson,MIN,31,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2008
575,G,Chris Snee,NYG,26,4.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2008
576,G,Alan Faneca,NYJ,32,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2008
577,G,Kris Dielman,SDG,27,5.0,15,15,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm",2008
578,C,Kevin Mawae,TEN,37,14.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2008
